Weights,Readable Weights,Total Return,Annual Return,Volatility,Sharpe,Max Drawdown
[0.00771594 0.08544689 0.45579036 0.4030652  0.0479816 ],"SPY: 0.8%, EEM: 8.5%, TLT: 45.6%, GLD: 40.3%, DBC: 4.8%",1.2250006612587905,0.2623991672849854,0.11977038666520506,2.1908518006080375,-0.08432047744501459
[0.04743231 0.08251262 0.42466693 0.43403842 0.01134972],"SPY: 4.7%, EEM: 8.3%, TLT: 42.5%, GLD: 43.4%, DBC: 1.1%",1.20607149862276,0.2596866427635709,0.119925512752147,2.1653994784268438,-0.09529896584987418
[0.05723076 0.14991015 0.49394934 0.27239042 0.02651933],"SPY: 5.7%, EEM: 15.0%, TLT: 49.4%, GLD: 27.2%, DBC: 2.7%",1.2295450778483317,0.26361015210939087,0.12426551344834078,2.1213460178473245,-0.08092242281776452
[0.05584716 0.01222091 0.40385504 0.37764981 0.15042708],"SPY: 5.6%, EEM: 1.2%, TLT: 40.4%, GLD: 37.8%, DBC: 15.0%",1.0138084523957036,0.22939533222135233,0.10962700144046537,2.0925075867000613,-0.08325339381599783
[0.05589674 0.09218669 0.36850903 0.3777368  0.10567075],"SPY: 5.6%, EEM: 9.2%, TLT: 36.9%, GLD: 37.8%, DBC: 10.6%",1.0289205729334991,0.23195980819650291,0.11126738207105137,2.084706262329257,-0.08686169302135793
[0.08093978 0.08029419 0.36280893 0.39028755 0.08566956],"SPY: 8.1%, EEM: 8.0%, TLT: 36.3%, GLD: 39.0%, DBC: 8.6%",1.0272666524994216,0.23172787126901198,0.11152537908471163,2.077803932798093,-0.09088856494210118
[0.04509525 0.12927694 0.3702163  0.32741751 0.127994  ],"SPY: 4.5%, EEM: 12.9%, TLT: 37.0%, GLD: 32.7%, DBC: 12.8%",1.0083919693121963,0.22868924798827303,0.11103456295843016,2.059622174348461,-0.08426513186280515
[0.06858972 0.17056294 0.33488776 0.37802886 0.04793073],"SPY: 6.9%, EEM: 17.1%, TLT: 33.5%, GLD: 37.8%, DBC: 4.8%",1.0488830130520421,0.23553141455696472,0.11523386956152025,2.0439425965056293,-0.10029832575141961
[0.03252666 0.02333515 0.31583539 0.46729932 0.16100349],"SPY: 3.3%, EEM: 2.3%, TLT: 31.6%, GLD: 46.7%, DBC: 16.1%",0.9471947280618589,0.21837884761440493,0.10715672340045754,2.0379388309429447,-0.09205409090237793
[0.17936358 0.02368654 0.39198472 0.3765812  0.02838396],"SPY: 17.9%, EEM: 2.4%, TLT: 39.2%, GLD: 37.7%, DBC: 2.8%",1.038403707777014,0.23386591853727376,0.11491216257263226,2.0351711542235984,-0.09255128134901858
[0.16887863 0.01868    0.36255612 0.40992012 0.03996513],"SPY: 16.9%, EEM: 1.9%, TLT: 36.3%, GLD: 41.0%, DBC: 4.0%",1.0099934713307883,0.2291351813079084,0.11275050726809306,2.0322319327848444,-0.09722381094827637
[0.16176715 0.07737997 0.39061645 0.32561456 0.04462187],"SPY: 16.2%, EEM: 7.7%, TLT: 39.1%, GLD: 32.6%, DBC: 4.5%",1.0271570570561432,0.23206052684934877,0.11456044764657827,2.0256600913891423,-0.0878749249497357
[0.10500698 0.11948065 0.3367535  0.35704429 0.08171458],"SPY: 10.5%, EEM: 11.9%, TLT: 33.7%, GLD: 35.7%, DBC: 8.2%",0.9839358373651697,0.22477193761511674,0.11099999406603346,2.0249725192003236,-0.09332194979635378
[0.02105813 0.31220272 0.36436024 0.28020822 0.02217068],"SPY: 2.1%, EEM: 31.2%, TLT: 36.4%, GLD: 28.0%, DBC: 2.2%",1.1310377504079057,0.24901695141397642,0.12304882277119551,2.023724776928697,-0.09647940927350473
[0.02568136 0.23356786 0.31049025 0.38349992 0.04676061],"SPY: 2.6%, EEM: 23.4%, TLT: 31.0%, GLD: 38.3%, DBC: 4.7%",1.059541567242512,0.2374813875186305,0.11778849842786501,2.016167883013355,-0.10542640016257954
[0.01472524 0.28373107 0.32934214 0.32870968 0.04349187],"SPY: 1.5%, EEM: 28.4%, TLT: 32.9%, GLD: 32.9%, DBC: 4.3%",1.0833863347083494,0.24141074487008327,0.11990528094834026,2.013345391968951,-0.10094016093171487
[0.15650683 0.13430778 0.37833782 0.30630033 0.02454724],"SPY: 15.7%, EEM: 13.4%, TLT: 37.8%, GLD: 30.6%, DBC: 2.5%",1.0386964946419042,0.23409171418271585,0.11646274936034914,2.010013634989924,-0.09200013879074165
[0.03209184 0.03000229 0.46855119 0.24753842 0.22181626],"SPY: 3.2%, EEM: 3.0%, TLT: 46.9%, GLD: 24.8%, DBC: 22.2%",0.9978886769085635,0.22729678441368303,0.1134438070567472,2.0036068103742672,-0.09333818422583784
[0.0262223  0.26445892 0.31465789 0.33250385 0.06215704],"SPY: 2.6%, EEM: 26.4%, TLT: 31.5%, GLD: 33.3%, DBC: 6.2%",1.040057311937265,0.2343918115178062,0.1172992819581518,1.9982373941677565,-0.1003608624325939
[0.13118076 0.17934552 0.35343874 0.29677882 0.03925615],"SPY: 13.1%, EEM: 17.9%, TLT: 35.3%, GLD: 29.7%, DBC: 3.9%",1.0173881803071727,0.23062162529723498,0.11548587088907945,1.9969683176112496,-0.0938549598829923
[0.09823719 0.04322928 0.30962229 0.39983617 0.14907508],"SPY: 9.8%, EEM: 4.3%, TLT: 31.0%, GLD: 40.0%, DBC: 14.9%",0.8982744851843807,0.21006432920797377,0.10531142623662486,1.9946964609137379,-0.08996409303557573
[0.11601392 0.24759734 0.40105716 0.21608287 0.01924871],"SPY: 11.6%, EEM: 24.8%, TLT: 40.1%, GLD: 21.6%, DBC: 1.9%",1.0865151514705857,0.24209539563839594,0.12149211912350229,1.992683948432037,-0.08815373832888773
[0.09571378 0.26096449 0.34891613 0.28062102 0.01378457],"SPY: 9.6%, EEM: 26.1%, TLT: 34.9%, GLD: 28.1%, DBC: 1.4%",1.0657212630670974,0.23869995106282066,0.11991643846261127,1.9905523723275427,-0.0984392097571497
[0.00717296 0.36349457 0.42597468 0.14208892 0.06126887],"SPY: 0.7%, EEM: 36.3%, TLT: 42.6%, GLD: 14.2%, DBC: 6.1%",1.1407022844722632,0.25085812723242845,0.126148619035442,1.9885919413984927,-0.09081627414548621
[0.01556408 0.26529321 0.2886724  0.37747717 0.05299314],"SPY: 1.6%, EEM: 26.5%, TLT: 28.9%, GLD: 37.7%, DBC: 5.3%",1.03777817959514,0.23415192127039444,0.11832894159080747,1.9788220711050866,-0.1078450489129561
[0.1693256  0.0675964  0.42311453 0.23772857 0.10223489],"SPY: 16.9%, EEM: 6.8%, TLT: 42.3%, GLD: 23.8%, DBC: 10.2%",0.9785536249192377,0.22423372470255853,0.1138127169050946,1.970199207963211,-0.07826006785704875
